playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,rqyhp29i,5,0,6,8,13
2,pa7k4f93,3,1,0,5,8
3,ifskzaiy,4,1,0,8,12
4,f0hsq81m,5,2,0,10,15
5,skya5ojd,6,0,1,5,11
6,p4f3glnm,6,0,3,6,12
7,ku7sgxda,4,0,0,10,14
8,9d6txfsy,4,0,0,7,11
9,bk4ieibh,3,0,3,7,10
10,d8t8c8gp,3,1,0,3,6
11,fxgey8o1,5,0,6,6,11
12,7liogqhr,3,1,0,5,8
13,bfq1yuvb,3,1,0,6,9
14,wgz1bsk5,3,1,0,6,9
15,pnbq14y0,3,1,0,6,9
16,dno1o4zu,3,1,0,3,6
17,wnhthjuq,3,1,0,4,7
18,veenrge9,4,1,0,8,12
19,m97bh2zq,5,1,0,9,14
20,cn7r440z,5,1,0,5,10
