timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-21 19:51:18,0,0,0,0,0,,,,
2017-07-21 19:51:19,0,0,0,0,0,,,,
2017-07-21 19:51:20,0,0,0,0,0,,,,
2017-07-21 19:51:21,0,0,0,0,0,,,,
2017-07-21 19:51:22,0,0,0,0,0,,,,
2017-07-21 19:51:23,0,0,0,0,0,,,,
2017-07-21 19:51:24,0,0,0,0,0,,,,
2017-07-21 19:51:25,0,0,0,0,0,,,,
2017-07-21 19:51:26,0,0,0,0,0,,,,
2017-07-21 19:51:27,1,0,0,3,4,,,rid,
2017-07-21 19:51:28,0,0,0,0,0,,,,
2017-07-21 19:51:29,0,0,0,0,0,,,,
2017-07-21 19:51:30,1,0,0,3,5,,,men,
2017-07-21 19:51:31,0,0,0,0,0,,,,
2017-07-21 19:51:32,0,0,0,0,0,,,,
2017-07-21 19:51:33,0,0,0,0,0,,,,
2017-07-21 19:51:34,0,0,0,0,0,,,,
2017-07-21 19:51:35,0,0,0,0,0,,,,
2017-07-21 19:51:36,0,1,1,0,0,,skya5ojd,U,p4f3glnm
2017-07-21 19:51:37,0,0,0,0,0,,,,
2017-07-21 19:51:38,0,1,0,0,0,,pa7k4f93,A,rqyhp29i
2017-07-21 19:51:39,0,0,0,0,0,,,,
2017-07-21 19:51:40,0,1,1,0,0,,bk4ieibh,S,9d6txfsy
2017-07-21 19:51:41,0,0,0,0,0,,,,
2017-07-21 19:51:42,0,0,0,0,0,,,,
2017-07-21 19:51:43,0,0,0,0,0,,,,
2017-07-21 19:51:44,0,1,0,0,0,,skya5ojd,T,p4f3glnm
2017-07-21 19:51:45,0,0,0,0,0,,,,
2017-07-21 19:51:46,0,0,0,0,0,,,,
2017-07-21 19:51:47,0,0,0,0,0,,,,
2017-07-21 19:51:48,0,0,0,0,0,,,,
2017-07-21 19:51:49,0,1,0,0,0,,d8t8c8gp,T,fxgey8o1
2017-07-21 19:51:50,0,1,1,0,0,,p4f3glnm,O,ku7sgxda
2017-07-21 19:51:51,0,0,0,0,0,,,,
2017-07-21 19:51:52,0,1,0,0,0,,7liogqhr,U,fxgey8o1
2017-07-21 19:51:53,0,0,0,0,0,,,,
2017-07-21 19:51:54,1,1,0,3,4,,cn7r440z,T-dis,rqyhp29i
2017-07-21 19:51:55,0,0,0,0,0,,,,
2017-07-21 19:51:56,0,1,0,0,0,,f0hsq81m,B,skya5ojd
2017-07-21 19:51:57,0,2,0,0,0,,d8t8c8gp-pa7k4f93,E-O,bk4ieibh-rqyhp29i
2017-07-21 19:51:58,0,0,0,0,0,,,,
2017-07-21 19:51:59,0,1,1,0,0,,bk4ieibh,O,9d6txfsy
2017-07-21 19:52:00,0,1,0,0,0,,cn7r440z,A,rqyhp29i
2017-07-21 19:52:01,0,1,1,0,0,,bk4ieibh,R,9d6txfsy
2017-07-21 19:52:02,0,0,1,0,0,R,bk4ieibh,,9d6txfsy
2017-07-21 19:52:03,0,2,1,0,0,R-R,bk4ieibh-cn7r440z-bk4ieibh-ku7sgxda,M-R,rqyhp29i-9d6txfsy
2017-07-21 19:52:04,0,1,1,0,0,R,bk4ieibh-ku7sgxda,G,9d6txfsy
2017-07-21 19:52:05,0,1,1,0,0,R,bk4ieibh-9d6txfsy,I,ku7sgxda
2017-07-21 19:52:06,0,1,1,0,0,R,bk4ieibh-ku7sgxda,A,9d6txfsy
2017-07-21 19:52:07,0,0,1,0,0,I,9d6txfsy,,ku7sgxda
2017-07-21 19:52:08,0,0,0,0,0,,,,
2017-07-21 19:52:09,0,0,0,0,0,,,,
2017-07-21 19:52:10,0,0,0,0,0,,,,
2017-07-21 19:52:11,0,0,0,0,0,,,,
2017-07-21 19:52:12,0,0,0,0,0,,,,
2017-07-21 19:52:13,0,0,0,0,0,,,,
2017-07-21 19:52:14,0,1,0,0,0,,d8t8c8gp,E,fxgey8o1
2017-07-21 19:52:15,0,0,0,0,0,,,,
2017-07-21 19:52:16,1,0,0,3,4,,,sod,
2017-07-21 19:52:17,0,0,0,0,0,,,,
2017-07-21 19:52:18,0,1,0,0,0,,d8t8c8gp,T,bk4ieibh
2017-07-21 19:52:19,1,0,0,3,6,,,hun,
