playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,r57fong8,3,0,0,14,17
2,ea09n7ef,3,1,0,0,3
3,1wzdpuan,7,0,0,6,13
4,jk3q7ov1,4,1,0,0,4
5,j1okbscz,3,0,0,13,16
6,6uuzuh53,6,0,0,10,16
7,d1c070ko,7,0,0,9,16
8,ufndy54l,6,1,0,0,6
9,i0gqeq1l,3,1,0,0,3
10,2spz1ygs,4,1,0,0,4
11,01l3bgcm,3,1,0,0,3
12,fvsl60fl,8,1,0,0,8
13,9adixs4g,9,1,0,0,9
14,ko3gnzaz,3,1,0,0,3
15,nlcnck6c,3,1,0,0,3
16,gxycjxjc,3,1,0,0,3
17,uhkmy641,3,1,0,0,3
18,hymio1wj,6,1,0,0,6
19,4r9lxan9,3,1,0,0,3
20,ljkj1snv,6,1,0,0,6
