timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-08-08 17:57:51,0,0,0,0,0,,,,
2017-08-08 17:57:52,0,0,0,0,0,,,,
2017-08-08 17:57:53,0,0,0,0,0,,,,
2017-08-08 17:57:54,0,0,0,0,0,,,,
2017-08-08 17:57:55,0,0,0,0,0,,,,
2017-08-08 17:57:56,0,0,0,0,0,,,,
2017-08-08 17:57:57,0,0,0,0,0,,,,
2017-08-08 17:57:58,0,0,0,0,0,,,,
2017-08-08 17:57:59,0,0,0,0,0,,,,
2017-08-08 17:58:00,0,0,0,0,0,,,,
2017-08-08 17:58:01,0,0,0,0,0,,,,
2017-08-08 17:58:02,0,0,0,0,0,,,,
2017-08-08 17:58:03,0,0,0,0,0,,,,
2017-08-08 17:58:04,0,0,0,0,0,,,,
2017-08-08 17:58:05,0,0,0,0,0,,,,
2017-08-08 17:58:06,0,0,0,0,0,,,,
2017-08-08 17:58:07,0,0,0,0,0,,,,
2017-08-08 17:58:08,0,0,0,0,0,,,,
2017-08-08 17:58:09,0,0,0,0,0,,,,
2017-08-08 17:58:10,0,0,0,0,0,,,,
2017-08-08 17:58:11,0,1,1,0,0,,1wzdpuan,I,j1okbscz
2017-08-08 17:58:12,0,1,1,0,0,,6uuzuh53,S,d1c070ko
2017-08-08 17:58:13,0,0,0,0,0,,,,
2017-08-08 17:58:14,0,0,0,0,0,,,,
2017-08-08 17:58:15,0,0,0,0,0,,,,
2017-08-08 17:58:16,0,0,0,0,0,,,,
2017-08-08 17:58:17,0,0,1,0,0,S,6uuzuh53,,d1c070ko
2017-08-08 17:58:18,0,0,0,0,0,,,,
2017-08-08 17:58:19,0,0,0,0,0,,,,
2017-08-08 17:58:20,0,1,1,0,0,,1wzdpuan,D,r57fong8
2017-08-08 17:58:21,0,0,0,0,0,,,,
2017-08-08 17:58:22,0,0,0,0,0,,,,
2017-08-08 17:58:23,0,0,2,0,0,I-D,1wzdpuan-1wzdpuan,,j1okbscz-r57fong8
2017-08-08 17:58:24,0,0,0,0,0,,,,
2017-08-08 17:58:25,0,0,0,0,0,,,,
2017-08-08 17:58:26,0,0,0,0,0,,,,
2017-08-08 17:58:27,0,0,0,0,0,,,,
2017-08-08 17:58:28,0,1,1,0,0,,r57fong8,L,1wzdpuan
2017-08-08 17:58:29,1,0,0,3,4,,,lid,
2017-08-08 17:58:30,0,0,0,0,0,,,,
2017-08-08 17:58:31,0,0,0,0,0,,,,
2017-08-08 17:58:32,0,0,1,0,0,L,r57fong8,,1wzdpuan
2017-08-08 17:58:33,0,0,0,0,0,,,,
2017-08-08 17:58:34,0,0,0,0,0,,,,
2017-08-08 17:58:35,0,0,0,0,0,,,,
2017-08-08 17:58:36,0,1,1,0,0,,j1okbscz,R,6uuzuh53
2017-08-08 17:58:37,0,0,0,0,0,,,,
2017-08-08 17:58:38,1,0,0,4,8,,,wild,
2017-08-08 17:58:39,0,0,0,0,0,,,,
2017-08-08 17:58:40,0,0,0,0,0,,,,
2017-08-08 17:58:41,1,0,0,3,4,,,rid,
2017-08-08 17:58:42,0,0,0,0,0,,,,
2017-08-08 17:58:43,0,0,0,0,0,,,,
2017-08-08 17:58:44,0,2,2,0,0,,j1okbscz-6uuzuh53,R-C,1wzdpuan-j1okbscz
2017-08-08 17:58:45,0,0,0,0,0,,,,
2017-08-08 17:58:46,0,0,1,0,0,C,6uuzuh53,,j1okbscz
2017-08-08 17:58:47,0,0,0,0,0,,,,
2017-08-08 17:58:48,0,0,0,0,0,,,,
2017-08-08 17:58:49,0,0,0,0,0,,,,
2017-08-08 17:58:50,0,0,0,0,0,,,,
2017-08-08 17:58:51,0,1,1,0,0,,d1c070ko,M,r57fong8
2017-08-08 17:58:52,0,0,0,0,0,,,,
2017-08-08 17:58:53,0,0,0,0,0,,,,
2017-08-08 17:58:54,0,1,1,0,0,,1wzdpuan,D,j1okbscz
2017-08-08 17:58:55,0,0,0,0,0,,,,
2017-08-08 17:58:56,0,0,1,0,0,M,d1c070ko,,r57fong8
2017-08-08 17:58:57,1,0,0,3,4,,,lid,
2017-08-08 17:58:58,0,1,1,0,0,,d1c070ko,N,r57fong8
2017-08-08 17:58:59,0,1,1,0,0,,j1okbscz,L,6uuzuh53
2017-08-08 17:59:00,0,0,0,0,0,,,,
2017-08-08 17:59:01,0,0,1,0,0,D,1wzdpuan,,j1okbscz
2017-08-08 17:59:02,0,0,1,0,0,N,d1c070ko,,r57fong8
2017-08-08 17:59:03,0,0,0,0,0,,,,
2017-08-08 17:59:04,1,0,0,3,5,,,rim,
2017-08-08 17:59:05,0,0,0,0,0,,,,
2017-08-08 17:59:06,0,0,0,0,0,,,,
2017-08-08 17:59:07,0,0,0,0,0,,,,
2017-08-08 17:59:08,1,0,0,3,6,,,dim,
2017-08-08 17:59:09,0,0,0,0,0,,,,
2017-08-08 17:59:10,0,0,0,0,0,,,,
2017-08-08 17:59:11,0,1,1,0,0,,6uuzuh53,C,d1c070ko
2017-08-08 17:59:12,1,0,0,3,4,,,dil,
2017-08-08 17:59:13,1,0,1,3,6,C,6uuzuh53,mid,d1c070ko
2017-08-08 17:59:14,1,0,0,3,4,,,din,
2017-08-08 17:59:15,0,0,0,0,0,,,,
2017-08-08 17:59:16,0,0,0,0,0,,,,
2017-08-08 17:59:17,0,0,0,0,0,,,,
2017-08-08 17:59:18,0,0,0,0,0,,,,
2017-08-08 17:59:19,0,0,0,0,0,,,,
2017-08-08 17:59:20,1,0,0,4,7,,,mild,
2017-08-08 17:59:21,0,0,0,0,0,,,,
2017-08-08 17:59:22,0,1,1,0,0,,j1okbscz,N,1wzdpuan
2017-08-08 17:59:23,0,0,0,0,0,,,,
2017-08-08 17:59:24,0,0,0,0,0,,,,
2017-08-08 17:59:25,0,0,0,0,0,,,,
2017-08-08 17:59:26,0,0,0,0,0,,,,
2017-08-08 17:59:27,0,0,0,0,0,,,,
2017-08-08 17:59:28,1,0,0,3,3,,,nil,
