playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,8n9puq6e,3,1,0,7,10
2,b3bzjv7x,7,0,3,7,14
3,z5lhq79j,4,0,0,12,16
4,dw7sds69,5,0,0,7,12
5,4ft3yddt,3,0,0,5,8
6,0g1vpmuv,3,0,0,8,11
7,v7hqx6y9,5,0,0,6,11
8,peh9x2qq,3,0,2,8,11
9,e8p2bgna,3,1,0,17,20
10,bica5cnd,14,0,6,9,23
11,h9em0uts,6,0,3,14,20
12,dfpx5x7p,4,1,0,6,10
13,fggycso7,4,1,0,7,11
14,rt28c8ip,3,1,0,13,16
15,htnoc99f,9,1,0,13,22
16,9oetp3b7,10,1,0,3,13
17,vmy49st6,3,1,0,7,10
18,jrvhshki,7,1,0,7,14
19,h88q80t4,4,1,0,15,19
20,9pnaohsn,8,1,0,7,15
