timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-27 20:41:59,0,0,0,0,0,,,,
2017-07-27 20:42:00,0,0,0,0,0,,,,
2017-07-27 20:42:01,0,0,0,0,0,,,,
2017-07-27 20:42:02,0,0,0,0,0,,,,
2017-07-27 20:42:03,0,0,0,0,0,,,,
2017-07-27 20:42:04,0,0,0,0,0,,,,
2017-07-27 20:42:05,0,0,0,0,0,,,,
2017-07-27 20:42:06,0,0,0,0,0,,,,
2017-07-27 20:42:07,0,0,0,0,0,,,,
2017-07-27 20:42:08,0,0,0,0,0,,,,
2017-07-27 20:42:09,0,0,0,0,0,,,,
2017-07-27 20:42:10,0,1,1,0,0,,4ft3yddt,S,0g1vpmuv
2017-07-27 20:42:11,0,1,1,0,0,,b3bzjv7x,S,z5lhq79j
2017-07-27 20:42:12,0,0,0,0,0,,,,
2017-07-27 20:42:13,0,1,1,0,0,,peh9x2qq,E,v7hqx6y9
2017-07-27 20:42:14,0,0,0,0,0,,,,
2017-07-27 20:42:15,0,1,1,0,0,,v7hqx6y9,T,0g1vpmuv
2017-07-27 20:42:16,0,0,1,0,0,E,peh9x2qq,,v7hqx6y9
2017-07-27 20:42:17,0,2,2,0,0,E-E,peh9x2qq-z5lhq79j-peh9x2qq-b3bzjv7x,E-K,b3bzjv7x-z5lhq79j
2017-07-27 20:42:18,1,0,0,3,3,,,sat,
2017-07-27 20:42:19,0,0,3,0,0,S-S-E,4ft3yddt-b3bzjv7x-z5lhq79j,,0g1vpmuv-z5lhq79j-b3bzjv7x
2017-07-27 20:42:20,0,0,1,0,0,K,b3bzjv7x,,z5lhq79j
2017-07-27 20:42:21,1,0,0,4,6,,,bite,
2017-07-27 20:42:22,0,0,0,0,0,,,,
2017-07-27 20:42:23,2,1,1,7,8,,dw7sds69,E-deer-one,4ft3yddt
2017-07-27 20:42:24,0,2,2,0,0,,z5lhq79j-b3bzjv7x,R-N,dw7sds69-z5lhq79j
2017-07-27 20:42:25,0,0,0,0,0,,,,
2017-07-27 20:42:26,0,2,2,0,0,,dw7sds69-4ft3yddt,E-S,z5lhq79j-dw7sds69
2017-07-27 20:42:27,0,1,1,0,0,,dw7sds69,C,z5lhq79j
2017-07-27 20:42:28,0,1,1,0,0,,4ft3yddt,A,dw7sds69
2017-07-27 20:42:29,0,1,1,0,0,,dw7sds69,T,z5lhq79j
