timestamp,requests,replies,playerRequest,letterRequest,playerReply,letterReply
2017-07-27 20:41:59,0,0,,,,
2017-07-27 20:42:00,0,0,,,,
2017-07-27 20:42:01,0,0,,,,
2017-07-27 20:42:02,0,0,,,,
2017-07-27 20:42:03,0,0,,,,
2017-07-27 20:42:04,0,0,,,,
2017-07-27 20:42:05,0,0,,,,
2017-07-27 20:42:06,0,0,,,,
2017-07-27 20:42:07,0,0,,,,
2017-07-27 20:42:08,0,0,,,,
2017-07-27 20:42:09,0,0,,,,
2017-07-27 20:42:10,1,1,0g1vpmuv,S,4ft3yddt,
2017-07-27 20:42:11,1,1,z5lhq79j,S,b3bzjv7x,
2017-07-27 20:42:12,0,0,,,,
2017-07-27 20:42:13,1,1,v7hqx6y9,E,peh9x2qq,
2017-07-27 20:42:14,0,0,,,,
2017-07-27 20:42:15,1,1,0g1vpmuv,T,v7hqx6y9,
2017-07-27 20:42:16,0,1,v7hqx6y9,,peh9x2qq,E
2017-07-27 20:42:17,2,2,b3bzjv7x-z5lhq79j,E-K,peh9x2qq-z5lhq79j-peh9x2qq-b3bzjv7x,E-E
2017-07-27 20:42:18,0,0,,,,
2017-07-27 20:42:19,0,3,0g1vpmuv-z5lhq79j-b3bzjv7x,,4ft3yddt-b3bzjv7x-z5lhq79j,S-S-E
2017-07-27 20:42:20,0,1,z5lhq79j,,b3bzjv7x,K
2017-07-27 20:42:21,0,0,,,,
2017-07-27 20:42:22,0,0,,,,
2017-07-27 20:42:23,1,1,4ft3yddt,E,dw7sds69,
2017-07-27 20:42:24,2,2,dw7sds69-z5lhq79j,R-N,z5lhq79j-b3bzjv7x,
2017-07-27 20:42:25,0,0,,,,
2017-07-27 20:42:26,2,2,z5lhq79j-dw7sds69,E-S,dw7sds69-4ft3yddt,
2017-07-27 20:42:27,1,1,z5lhq79j,C,dw7sds69,
2017-07-27 20:42:28,1,1,dw7sds69,A,4ft3yddt,
2017-07-27 20:42:29,1,1,z5lhq79j,T,dw7sds69,
2017-07-27 20:42:30,1,1,dw7sds69,D,z5lhq79j,
2017-07-27 20:42:31,0,0,,,,
2017-07-27 20:42:32,0,0,,,,
2017-07-27 20:42:33,0,0,,,,
2017-07-27 20:42:34,0,0,,,,
2017-07-27 20:42:35,1,1,4ft3yddt,C,dw7sds69,
2017-07-27 20:42:36,0,1,dw7sds69,,z5lhq79j,R
2017-07-27 20:42:37,0,1,dw7sds69,,z5lhq79j,D
2017-07-27 20:42:38,1,1,peh9x2qq,B,z5lhq79j-v7hqx6y9,D
2017-07-27 20:42:39,0,1,0g1vpmuv,,v7hqx6y9,T
2017-07-27 20:42:40,0,1,peh9x2qq,,v7hqx6y9,B
2017-07-27 20:42:41,1,0,b3bzjv7x,S,v7hqx6y9-8n9puq6e,B
2017-07-27 20:42:42,0,0,,,,
2017-07-27 20:42:43,1,0,bica5cnd,E,h9em0uts,
2017-07-27 20:42:44,0,0,,,,
2017-07-27 20:42:45,0,0,,,,
2017-07-27 20:42:46,0,0,,,,
2017-07-27 20:42:47,0,0,,,,
2017-07-27 20:42:48,0,0,,,,
2017-07-27 20:42:49,0,0,,,,
2017-07-27 20:42:50,0,0,,,,
2017-07-27 20:42:51,0,0,,,,
2017-07-27 20:42:52,0,0,,,,
2017-07-27 20:42:53,1,1,0g1vpmuv,A,4ft3yddt,
2017-07-27 20:42:54,0,0,,,,
2017-07-27 20:42:55,1,1,v7hqx6y9,O,peh9x2qq,
2017-07-27 20:42:56,2,2,4ft3yddt-0g1vpmuv,U-B,0g1vpmuv-v7hqx6y9,
2017-07-27 20:42:57,1,0,bica5cnd,I,h9em0uts,
2017-07-27 20:42:58,0,1,0g1vpmuv,,v7hqx6y9,B
2017-07-27 20:42:59,1,0,bica5cnd,S,v7hqx6y9-e8p2bgna,B
2017-07-27 20:43:00,0,0,,,,
2017-07-27 20:43:01,1,0,bica5cnd,L,e8p2bgna,
2017-07-27 20:43:02,0,1,v7hqx6y9,,peh9x2qq,O
2017-07-27 20:43:03,0,0,,,,
2017-07-27 20:43:04,0,0,,,,
2017-07-27 20:43:05,1,1,v7hqx6y9,N,peh9x2qq,
2017-07-27 20:43:06,0,0,,,,
2017-07-27 20:43:07,0,0,,,,
2017-07-27 20:43:08,0,0,,,,
2017-07-27 20:43:09,0,0,,,,
2017-07-27 20:43:10,1,1,peh9x2qq,T,v7hqx6y9,
2017-07-27 20:43:11,1,1,4ft3yddt,E,0g1vpmuv,
2017-07-27 20:43:12,0,0,,,,
2017-07-27 20:43:13,0,0,,,,
2017-07-27 20:43:14,0,1,v7hqx6y9,,peh9x2qq,N
2017-07-27 20:43:15,1,0,bica5cnd,E,peh9x2qq-e8p2bgna,N
2017-07-27 20:43:16,0,0,,,,
2017-07-27 20:43:17,3,2,0g1vpmuv-4ft3yddt-bica5cnd,I-T-H,v7hqx6y9-0g1vpmuv-h9em0uts,
2017-07-27 20:43:18,0,0,,,,
2017-07-27 20:43:19,0,0,,,,
2017-07-27 20:43:20,0,0,,,,
2017-07-27 20:43:21,0,1,0g1vpmuv,,v7hqx6y9,I
2017-07-27 20:43:22,0,0,,,,
2017-07-27 20:43:23,0,0,,,,
2017-07-27 20:43:24,0,0,,,,
2017-07-27 20:43:25,0,0,,,,
2017-07-27 20:43:26,0,0,,,,
2017-07-27 20:43:27,0,0,,,,
2017-07-27 20:43:28,0,0,,,,
2017-07-27 20:43:29,0,0,,,,
2017-07-27 20:43:30,1,0,b3bzjv7x,T,8n9puq6e,
2017-07-27 20:43:31,0,0,,,,
2017-07-27 20:43:32,1,0,b3bzjv7x,R,8n9puq6e,
2017-07-27 20:43:33,0,0,,,,
2017-07-27 20:43:34,1,1,b3bzjv7x,R,z5lhq79j,
2017-07-27 20:43:35,1,1,b3bzjv7x,D,z5lhq79j,
2017-07-27 20:43:36,0,0,,,,
2017-07-27 20:43:37,0,0,,,,
2017-07-27 20:43:38,0,0,,,,
2017-07-27 20:43:39,0,0,,,,
2017-07-27 20:43:40,0,2,b3bzjv7x-b3bzjv7x,,z5lhq79j-z5lhq79j,R-D
2017-07-27 20:43:41,0,0,,,,
2017-07-27 20:43:42,0,0,,,,
2017-07-27 20:43:43,0,0,,,,
2017-07-27 20:43:44,0,0,,,,
2017-07-27 20:43:45,0,0,,,,
2017-07-27 20:43:46,0,2,4ft3yddt-z5lhq79j,,dw7sds69-dw7sds69,E-C
2017-07-27 20:43:47,1,1,v7hqx6y9,U,dw7sds69-dw7sds69-0g1vpmuv,E-C
2017-07-27 20:43:48,0,1,z5lhq79j,,dw7sds69,E
2017-07-27 20:43:49,0,0,,,,
2017-07-27 20:43:50,0,0,,,,
2017-07-27 20:43:51,1,0,h9em0uts,I,dfpx5x7p,
2017-07-27 20:43:52,0,0,,,,
2017-07-27 20:43:53,0,0,,,,
2017-07-27 20:43:54,0,0,,,,
2017-07-27 20:43:55,0,0,,,,
2017-07-27 20:43:56,0,0,,,,
2017-07-27 20:43:57,0,0,,,,
2017-07-27 20:43:58,1,0,peh9x2qq,L,e8p2bgna,
2017-07-27 20:43:59,0,0,,,,
2017-07-27 20:44:00,0,0,,,,
2017-07-27 20:44:01,0,0,,,,
2017-07-27 20:44:02,0,0,,,,
2017-07-27 20:44:03,0,0,,,,
2017-07-27 20:44:04,0,0,,,,
2017-07-27 20:44:05,0,0,,,,
2017-07-27 20:44:06,0,0,,,,
2017-07-27 20:44:07,0,0,,,,
2017-07-27 20:44:08,0,0,,,,
2017-07-27 20:44:09,0,0,,,,
2017-07-27 20:44:10,0,0,,,,
2017-07-27 20:44:11,0,0,,,,
2017-07-27 20:44:12,0,0,,,,
2017-07-27 20:44:13,0,0,,,,
2017-07-27 20:44:14,0,0,,,,
2017-07-27 20:44:15,0,0,,,,
2017-07-27 20:44:16,0,0,,,,
2017-07-27 20:44:17,0,0,,,,
