timestamp,words,word,numberOfLetters,scrabbleScore
2017-07-27 20:41:59,0,,0,0
2017-07-27 20:42:00,0,,0,0
2017-07-27 20:42:01,0,,0,0
2017-07-27 20:42:02,0,,0,0
2017-07-27 20:42:03,0,,0,0
2017-07-27 20:42:04,0,,0,0
2017-07-27 20:42:05,0,,0,0
2017-07-27 20:42:06,0,,0,0
2017-07-27 20:42:07,0,,0,0
2017-07-27 20:42:08,0,,0,0
2017-07-27 20:42:09,0,,0,0
2017-07-27 20:42:10,0,,0,0
2017-07-27 20:42:11,0,,0,0
2017-07-27 20:42:12,0,,0,0
2017-07-27 20:42:13,0,,0,0
2017-07-27 20:42:14,0,,0,0
2017-07-27 20:42:15,0,,0,0
2017-07-27 20:42:16,0,,0,0
2017-07-27 20:42:17,0,,0,0
2017-07-27 20:42:18,1,sat,3,3
2017-07-27 20:42:19,0,,0,0
2017-07-27 20:42:20,0,,0,0
2017-07-27 20:42:21,1,bite,4,6
2017-07-27 20:42:22,0,,0,0
2017-07-27 20:42:23,2,deer-one,7,8
2017-07-27 20:42:24,0,,0,0
2017-07-27 20:42:25,0,,0,0
2017-07-27 20:42:26,0,,0,0
2017-07-27 20:42:27,0,,0,0
2017-07-27 20:42:28,0,,0,0
2017-07-27 20:42:29,0,,0,0
2017-07-27 20:42:30,1,tie,3,3
2017-07-27 20:42:31,0,,0,0
2017-07-27 20:42:32,0,,0,0
2017-07-27 20:42:33,0,,0,0
2017-07-27 20:42:34,0,,0,0
2017-07-27 20:42:35,1,bit,3,5
2017-07-27 20:42:36,0,,0,0
2017-07-27 20:42:37,0,,0,0
2017-07-27 20:42:38,1,suet,4,4
2017-07-27 20:42:39,0,,0,0
2017-07-27 20:42:40,1,keen,4,8
2017-07-27 20:42:41,0,,0,0
2017-07-27 20:42:42,0,,0,0
2017-07-27 20:42:43,1,set,3,3
2017-07-27 20:42:44,0,,0,0
2017-07-27 20:42:45,0,,0,0
2017-07-27 20:42:46,2,bone-sue,7,9
2017-07-27 20:42:47,0,,0,0
