Session,playerid,playercode,numWords,d1,d2,d3,d2d1,pggcontribution,pggearning
vhmb74qv,5,6n7bpiu9,4,9999,9,0,-9990,70,53
vhmb74qv,1,c28394f5,5,125,9999,13,9874,75,48
vhmb74qv,3,j90n3wk9,1,121,125,125,4,0,123
vhmb74qv,4,wvc2awm0,4,125,125,125,0,100,23
5ydhsfg6,8,9d6txfsy,16,125,125,125,0,75,40
5ydhsfg6,9,bk4ieibh,9,32,67,125,35,100,15
5ydhsfg6,11,fxgey8o1,4,57,-100,-100,-157,20,95
5ydhsfg6,7,ku7sgxda,5,85,124,80,39,50,65
5ydhsfg6,6,p4f3glnm,10,36,61,48,25,100,15
5ydhsfg6,1,rqyhp29i,1,125,-99,-100,-224,0,115
5ydhsfg6,5,skya5ojd,0,-100,0,nan,100,nan,nan
gbwspag3,8,6p6butrq,1,-4,-100,nan,-96,-1,nan
gbwspag3,4,9kbfxoqe,6,9999,9999,9999,0,25,nan
gbwspag3,1,g8tonyl5,0,125,-100,-31,-225,20,nan
gbwspag3,10,j19y2rbh,0,125,-100,-88,-225,100,nan
gbwspag3,6,kniyfuea,0,28,5,41,-23,50,nan
gbwspag3,3,pxvjdff7,16,-100,-71,-100,29,0,nan
gbwspag3,5,trb9jlu8,9,122,123,124,1,25,nan
gbwspag3,2,wrx1fizh,12,125,119,125,-6,40,nan
89ykytnu,6,0g1vpmuv,45,-1,1,-22,2,0,117
89ykytnu,5,4ft3yddt,14,9,42,66,33,100,17
89ykytnu,2,b3bzjv7x,13,7,49,45,42,100,17
89ykytnu,10,bica5cnd,0,2,120,27,118,50,67
89ykytnu,4,dw7sds69,30,35,54,67,19,50,67
89ykytnu,11,h9em0uts,2,125,125,125,0,100,17
89ykytnu,8,peh9x2qq,16,4,0,2,-4,25,92
89ykytnu,7,v7hqx6y9,27,31,103,117,72,100,17
89ykytnu,3,z5lhq79j,30,-100,-83,-100,17,0,117
ef0hzbwg,5,74dfcjcf,22,78,125,88,47,75,25
ef0hzbwg,9,7uore93c,1,124,125,nan,1,nan,nan
ef0hzbwg,3,fz8v2kfa,14,125,125,125,0,10,90
ef0hzbwg,7,gcssnn1p,26,-100,-100,-100,0,0,100
ef0hzbwg,4,hhi5zsnv,6,24,69,68,45,90,10
ef0hzbwg,6,ji49zxof,6,125,125,125,0,25,75
ef0hzbwg,8,vlt8kkgw,18,20,125,125,105,100,0
jrseoprn,5,0yrslh0h,0,41,-100,-100,-141,1,99
jrseoprn,1,6myrlpvi,3,105,102,106,-3,50,50
jrseoprn,9,h0wi0jq1,11,46,91,69,45,100,0
jrseoprn,3,k0q2x5lr,7,69,77,106,8,25,75
jrseoprn,4,qdr7cfdx,17,125,125,62,0,50,50
jrseoprn,7,y63y0udw,6,71,125,119,54,75,25
7tbi6mwd,3,1wzdpuan,11,16,34,50,18,50,44
7tbi6mwd,6,6uuzuh53,0,-100,-38,-100,62,0,94
7tbi6mwd,7,d1c070ko,8,18,48,22,30,10,84
7tbi6mwd,5,j1okbscz,11,-7,111,117,118,75,19
7tbi6mwd,1,r57fong8,16,28,72,21,44,100,-6
