playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,kmneo9q9,5,1,0,7,12
2,f0zzj5yj,3,1,0,8,11
3,fz8v2kfa,3,0,1,6,9
4,hhi5zsnv,3,0,0,6,9
5,74dfcjcf,3,0,0,6,9
6,ji49zxof,3,0,0,9,12
7,gcssnn1p,6,0,0,8,14
8,vlt8kkgw,5,0,0,11,16
9,7uore93c,5,0,2,9,14
10,c4bewd55,4,1,0,11,15
11,5nzaro6r,6,1,0,11,17
12,ltb88nlu,7,1,0,13,20
13,yuoi50co,7,1,0,10,17
14,uek5x1ta,3,1,0,10,13
15,2p57hvng,3,1,0,7,10
16,kdgfzmak,4,1,0,8,12
17,yn71y6f1,5,1,0,10,15
18,2mubllt3,6,1,0,8,14
19,0tw2sw2e,3,1,0,10,13
20,xuu2od7h,4,1,0,8,12
