playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,g8tonyl5,7,0,2,8,15
2,wrx1fizh,5,0,0,7,12
3,pxvjdff7,3,0,1,5,8
4,9kbfxoqe,5,0,0,8,13
5,trb9jlu8,5,0,2,5,10
6,kniyfuea,7,0,2,11,18
7,56h0qqeu,6,1,0,7,13
8,6p6butrq,6,0,6,4,10
9,ijio04iq,4,1,0,9,13
10,j19y2rbh,3,0,6,8,11
11,eq97451g,4,1,0,9,13
12,eghpl7h1,6,1,0,7,13
13,bs18kjig,3,1,0,9,12
14,qluq4hqw,3,1,0,7,10
15,rfta25kx,4,1,0,8,12
16,4nowrnjp,5,1,0,3,8
17,9joak3tz,3,1,0,5,8
18,39r56fyf,5,1,0,6,11
19,mhv31zkj,3,1,0,8,11
20,gjqrn6oy,3,1,0,10,13
