playerid,playercode,score,dropout,unansweredRequests,neighborsScore,possibleScore
1,6myrlpvi,3,0,0,8,11
2,h3mx0s93,6,1,0,0,6
3,k0q2x5lr,3,0,1,6,9
4,qdr7cfdx,3,0,0,7,10
5,0yrslh0h,4,0,6,8,12
6,o280qibn,5,2,0,10,15
7,y63y0udw,6,0,2,10,16
8,evwyyl1n,15,1,0,0,15
9,h0wi0jq1,5,0,0,9,14
10,6y5dwrj8,7,1,0,0,7
11,piygqhxm,3,1,0,0,3
12,rcia0bk0,5,1,0,0,5
13,8ihubp4p,5,1,0,0,5
14,z6lb3q99,4,1,0,0,4
15,dxviqtie,4,1,0,0,4
16,qnlm13xf,6,1,0,0,6
17,jhb6ol1t,7,1,0,0,7
18,sber5ng6,9,1,0,0,9
19,sz5o5mmq,3,1,0,0,3
20,ga5stlwn,3,1,0,0,3
