timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-08-08 13:56:46,0,0,0,0,0,,,,
2017-08-08 13:56:47,0,0,0,0,0,,,,
2017-08-08 13:56:48,0,0,0,0,0,,,,
2017-08-08 13:56:49,0,0,0,0,0,,,,
2017-08-08 13:56:50,0,0,0,0,0,,,,
2017-08-08 13:56:51,0,0,0,0,0,,,,
2017-08-08 13:56:52,0,0,0,0,0,,,,
2017-08-08 13:56:53,0,0,0,0,0,,,,
2017-08-08 13:56:54,0,0,0,0,0,,,,
2017-08-08 13:56:55,0,0,0,0,0,,,,
2017-08-08 13:56:56,0,0,0,0,0,,,,
2017-08-08 13:56:57,0,0,0,0,0,,,,
2017-08-08 13:56:58,0,0,0,0,0,,,,
2017-08-08 13:56:59,0,1,1,0,0,T,qdr7cfdx,,0yrslh0h
2017-08-08 13:57:00,0,0,0,0,0,,,,
2017-08-08 13:57:01,0,0,0,0,0,,,,
2017-08-08 13:57:02,0,0,0,0,0,,,,
2017-08-08 13:57:03,0,0,1,0,0,,qdr7cfdx,T,0yrslh0h
2017-08-08 13:57:04,1,0,0,4,4,late,,,
2017-08-08 13:57:05,0,0,0,0,0,,,,
2017-08-08 13:57:06,0,0,0,0,0,,,,
2017-08-08 13:57:07,0,0,0,0,0,,,,
2017-08-08 13:57:08,0,0,0,0,0,,,,
2017-08-08 13:57:09,0,0,0,0,0,,,,
2017-08-08 13:57:10,0,0,0,0,0,,,,
2017-08-08 13:57:11,0,0,0,0,0,,,,
2017-08-08 13:57:12,0,0,0,0,0,,,,
2017-08-08 13:57:13,0,0,0,0,0,,,,
2017-08-08 13:57:14,0,0,0,0,0,,,,
2017-08-08 13:57:15,0,0,0,0,0,,,,
2017-08-08 13:57:16,0,0,0,0,0,,,,
2017-08-08 13:57:17,0,0,0,0,0,,,,
2017-08-08 13:57:18,0,0,0,0,0,,,,
2017-08-08 13:57:19,0,0,0,0,0,,,,
2017-08-08 13:57:20,0,0,0,0,0,,,,
2017-08-08 13:57:21,0,1,1,0,0,R,qdr7cfdx,,k0q2x5lr
2017-08-08 13:57:22,0,0,0,0,0,,,,
2017-08-08 13:57:23,0,0,0,0,0,,,,
2017-08-08 13:57:24,0,0,0,0,0,,,,
2017-08-08 13:57:25,0,0,0,0,0,,,,
2017-08-08 13:57:26,0,0,0,0,0,,,,
2017-08-08 13:57:27,0,0,1,0,0,,qdr7cfdx,R,k0q2x5lr
2017-08-08 13:57:28,0,0,0,0,0,,,,
2017-08-08 13:57:29,0,0,0,0,0,,,,
2017-08-08 13:57:30,0,0,0,0,0,,,,
2017-08-08 13:57:31,1,0,0,4,4,real,,,
2017-08-08 13:57:32,0,0,0,0,0,,,,
2017-08-08 13:57:33,0,0,0,0,0,,,,
2017-08-08 13:57:34,0,0,0,0,0,,,,
2017-08-08 13:57:35,0,0,0,0,0,,,,
2017-08-08 13:57:36,0,0,0,0,0,,,,
2017-08-08 13:57:37,1,0,0,4,4,teal,,,
2017-08-08 13:57:38,0,0,0,0,0,,,,
2017-08-08 13:57:39,0,0,0,0,0,,,,
2017-08-08 13:57:40,0,0,0,0,0,,,,
