participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.worker_id,participant.assignment_id,participant.payoff,player.id_in_group,player.contribution,player.profit,player.distanceScale,player.overlapScale,player.payoff,group.id_in_subsession,subsession.round_number,subsession.total_contribution,subsession.individual_share,session.code,session.label,session.experimenter_name,session.HITId,session.HITGroupId,session.comment,session.is_demo
1,1,,0,3,2,c,1,r,127.0.0.1,1/1/17,0,1,1,1,184,1,100,-6,21,12,94,1,1,235,94,1,,,1,1,,0
2,2,,0,3,2,c,1,r,127.0.0.1,1/1/17,0,1,2,2,39,2,,,,,0,1,1,235,94,1,,,1,1,,0
3,3,,0,3,2,c,1,r,127.0.0.1,1/2/17,0,1,3,3,224,3,50,44,50,43,144,1,1,235,94,1,,,1,1,,0
4,4,,0,3,2,c,1,r,127.0.0.1,1/3/17,0,1,4,4,0,4,,,,,0,1,1,235,94,1,,,1,1,,0
5,5,,0,3,2,c,1,r,127.0.0.1,1/4/17,0,1,5,5,167,5,75,19,117,100,119,1,1,235,94,1,,,1,1,,0
6,6,,0,3,2,c,1,r,127.0.0.1,1/5/17,0,1,6,6,242,6,0,94,-100,0,194,1,1,235,94,1,,,1,1,,0
7,7,,0,3,2,c,1,r,127.0.0.1,1/6/17,0,1,7,7,241,7,10,84,22,13,184,1,1,235,94,1,,,1,1,,0
8,8,,0,3,2,c,1,r,127.0.0.1,1/7/17,0,1,,,0,8,,,,,0,1,1,235,94,1,,,1,1,,0
9,9,,0,3,2,c,1,r,127.0.0.1,1/8/17,0,1,,,0,9,,,,,0,1,1,235,94,1,,,1,1,,0
10,10,,0,3,2,c,1,r,127.0.0.1,1/9/17,0,1,,,0,10,,,,,0,1,1,235,94,1,,,1,1,,0
11,11,,0,3,2,c,1,r,127.0.0.1,1/10/17,0,1,,,0,11,,,,,0,1,1,235,94,1,,,1,1,,0
12,12,,0,3,2,c,1,r,127.0.0.1,1/11/17,0,1,,,0,12,,,,,0,1,1,235,94,1,,,1,1,,0
13,13,,0,3,2,c,1,r,127.0.0.1,1/12/17,0,1,,,0,13,,,,,0,1,1,235,94,1,,,1,1,,0
14,14,,0,3,2,c,1,r,127.0.0.1,1/13/17,0,1,,,0,14,,,,,0,1,1,235,94,1,,,1,1,,0
15,15,,0,3,2,c,1,r,127.0.0.1,1/14/17,0,1,,,0,15,,,,,0,1,1,235,94,1,,,1,1,,0
16,16,,0,3,2,c,1,r,127.0.0.1,1/15/17,0,1,,,0,16,,,,,0,1,1,235,94,1,,,1,1,,0
17,17,,0,3,2,c,1,r,127.0.0.1,1/16/17,0,1,,,0,17,,,,,0,1,1,235,94,1,,,1,1,,0
18,18,,0,3,2,c,1,r,127.0.0.1,1/17/17,0,1,,,0,18,,,,,0,1,1,235,94,1,,,1,1,,0
19,19,,0,3,2,c,1,r,127.0.0.1,1/18/17,0,1,,,0,19,,,,,0,1,1,235,94,1,,,1,1,,0
20,20,,0,3,2,c,1,r,127.0.0.1,1/19/17,0,1,,,0,20,,,,,0,1,1,235,94,1,,,1,1,,0
